schooljaar,grade_year_secondary,outflow_position,gender,belgian_nonbelgian,eu_noneu,age_category,household_language_dutch,mother_education_level,school_progress,grade_secondary_education,school_year_level,field_of_study,residence_merged_municipality_name,residence_province_name,residence_central_city,target
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Auto,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Body care,Diest,Flemish Brabant,No,dropout
2022-2023,,dbso,Female,Belgian,EU,<17-18,Exclusively Ned with everyone,Upper secondary education,,,/, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,General secondary education,Lanaken,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,19-20,Ned with no one,Primary education,2 years academic delay,3,2,Trade,Turnhout,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Power supply,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Tourism,Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Belgian,EU,19-20,,,,,6, (modernisering SO),Kortrijk,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Non-Belgian,EU,18-19,Ned with no one,No primary education,1 year academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Ieper,West Flanders,No,enroll
2022-2023,,dbso,Female,Non-Belgian,EU,19-20,Ned with no one,Higher education,,,/, (modernisering SO),Dendermonde,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Kontich,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Trade,Tervuren,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Lennik,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,General secondary education,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,General secondary education,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,General secondary education,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Personal care,Sint-Niklaas,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,Trade,Lokeren,East Flanders,No,enroll
2022-2023,,dbso,Male,Belgian,EU,20-21,Exclusively Ned with everyone,Higher education,,,/, (modernisering SO),Balen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Trade,Aalst,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with no one,Primary education,No academic delay,3,2,Personal care,Londerzeel,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Power supply,Hoogstraten,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,Trade,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,1 year academic delay,3,1,Trade,Lokeren,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Wevelgem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,General secondary education,Wevelgem,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Chemistry,Bornem,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,EU,18-19,Ned with no one,No primary education,1 year academic delay,3,2,Social security,Anderlecht,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Performing arts,Turnhout,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with at least one,Upper secondary education,No academic delay,3,2,Trade,Ronse,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Personal care,Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Stabroek,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Stabroek,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Stabroek,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Stabroek,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Stabroek,Antwerpen,No,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with no one,No primary education,2 years academic delay,2,2, (modernisering SO),Mechelen,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,Agriculture and horticulture,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Agriculture and horticulture,Bocholt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Tielt,West Flanders,No,enroll
2022-2023,2nd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Ned with at least one,Upper secondary education,2 years academic delay,2,2, (modernisering SO),Hasselt,Limburg,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,General secondary education,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Personal care,Zelzate,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Upper secondary education,1 year academic delay,3,2,General secondary education,Oostende,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Ned with at least one,Lower secondary education,1 year academic delay,3,2,Personal care,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Social security,Vilvoorde,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,General secondary education,Nijlen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with no one,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Pelt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Lower secondary education,2 years academic delay,3,2,Agriculture and horticulture,Merchtem,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Belgian,EU,17-18,Ned with no one,Lower secondary education,1 year academic delay,3,1,Trade,Aalst,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,General secondary education,Halle,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Wood,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Wood,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Wood,Diksmuide,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Cooling and heating,Bilzen-Hoeselt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Fashion,Kortemark,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Zaventem,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,Sport,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,General secondary education,Wetteren,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Diepenbeek,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Diepenbeek,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Personal care,Diepenbeek,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Maritime training,Antwerpen,Antwerpen,Yes,enroll
2022-2023,2nd Grade - 1st Year,tso,Male,Non-Belgian,Non-EU,17-18,Ned with no one,Lower secondary education,More than 2 years of academic delay,2,1, (modernisering SO),Turnhout,Antwerpen,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Personal care,Aarschot,Flemish Brabant,No,enroll
2022-2023,,buso OV3,Female,Non-Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,,buso OV3,Female,Non-Belgian,EU,17-18,,,,,5, (modernisering SO),Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Belgian,EU,18-19,Ned with no one,Primary education,2 years academic delay,3,1,Personal care,Leuven,Flemish Brabant,Yes,dropout
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,18-19,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,2,General secondary education,Pelt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Ieper,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Agriculture and horticulture,Kortrijk,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,Trade,Zaventem,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Non-Belgian,EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,Wood,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Lummen,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Mol,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Sport,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Wood,Brugge,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Upper secondary education,2 years academic delay,3,2,Trade,Eeklo,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Sport,Herzele,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Sport,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,Sport,Keerbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,17-18,Ned with at least one,Lower secondary education,No academic delay,3,2,Personal care,Edegem,Antwerpen,No,enroll
2022-2023,,dbso,Female,Non-Belgian,EU,21-22,Ned with at least one,Upper secondary education,,,/, (modernisering SO),Balen,Antwerpen,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,19-20,Exclusively Ned with everyone,Higher education,2 years academic delay,3,2,Mechanics-electricity,Oudenaarde,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with at least one,Higher education,No academic delay,3,2,General secondary education,Gistel,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Personal care,Dilbeek,Flemish Brabant,No,enroll
2022-2023,,dbso,Female,Belgian,EU,18-19,Ned with at least one,No primary education,,,/, (modernisering SO),Antwerpen,Antwerpen,Yes,dropout
2022-2023,,dbso,Female,Belgian,EU,18-19,Ned with at least one,No primary education,,,/, (modernisering SO),Antwerpen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,,No academic delay,3,2,Mechanics-electricity,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Decorative techniques,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Mechanics-electricity,Bilzen-Hoeselt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Tourism,Wemmel,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Non-Belgian,EU,17-18,Exclusively Ned with everyone,No primary education,No academic delay,3,2,General secondary education,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,17-18,Ned with no one,Upper secondary education,No academic delay,3,2,General secondary education,Dilbeek,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Bilzen-Hoeselt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,Mechanics-electricity,Bilzen-Hoeselt,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Non-Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,General secondary education,Grimbergen,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,General secondary education,Gent,East Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,aso,Male,Non-Belgian,Non-EU,19-20,Ned with no one,Upper secondary education,More than 2 years of academic delay,3,1,General secondary education,Beveren-Kruibeke-Zwijndrecht,East Flanders,No,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Tourism,Veurne,West Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,kso,Female,Non-Belgian,EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,Visual arts,Genk,Limburg,Yes,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Ned with at least one,Higher education,1 year academic delay,3,2,General secondary education,Jette,Brussels-Capital Region,No,enroll
2022-2023,3rd Grade - 1st Year,tso,Female,Non-Belgian,Non-EU,17-18,Ned with no one,Upper secondary education,1 year academic delay,3,1,Power supply,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,kso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Lower secondary education,1 year academic delay,3,2,Visual arts,Aalst,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,18-19,Ned with no one,No primary education,1 year academic delay,3,2,Trade,Tervuren,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,20-21,Exclusively Ned with everyone,Upper secondary education,More than 2 years of academic delay,3,2,Mechanics-electricity,Kalmthout,Antwerpen,No,dropout
2022-2023,3rd Grade - 1st Year,kso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,1,Visual arts,Brugge,West Flanders,Yes,dropout
2022-2023,3rd Grade - 1st Year,kso,Female,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,1 year academic delay,3,1,Visual arts,Brugge,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Lower secondary education,No academic delay,3,2,Agriculture and horticulture,Tongeren-Borgloon,Limburg,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,18-19,Ned with at least one,Upper secondary education,1 year academic delay,3,2,Trade,Gent,East Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Social security,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 2nd Year,bso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Upper secondary education,No academic delay,3,2,Trade,Roeselare,West Flanders,Yes,enroll
2022-2023,3rd Grade - 1st Year,aso,Male,Belgian,EU,17-18,Ned with no one,,1 year academic delay,3,1,General secondary education,Merelbeke-Melle,East Flanders,No,dropout
2022-2023,,dbso,Male,Non-Belgian,Non-EU,17-18,Ned with at least one,Primary education,,,/, (modernisering SO),Oostende,West Flanders,Yes,dropout
2022-2023,3rd Grade - 2nd Year,bso,Male,Non-Belgian,Non-EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,Trade,Ninove,East Flanders,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,17-18,Ned with no one,Lower secondary education,No academic delay,3,2,General secondary education,Ternat,Flemish Brabant,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Female,Non-Belgian,Non-EU,18-19,Ned with no one,Higher education,1 year academic delay,3,2,General secondary education,Mechelen,Antwerpen,Yes,enroll
2022-2023,3rd Grade - 2nd Year,tso,Female,Belgian,EU,18-19,Exclusively Ned with everyone,Higher education,1 year academic delay,3,2,Personal care,Herentals,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,aso,Male,Belgian,EU,18-19,Exclusively Ned with everyone,Upper secondary education,1 year academic delay,3,2,General secondary education,Kapellen,Antwerpen,No,enroll
2022-2023,3rd Grade - 2nd Year,tso,Male,Belgian,EU,17-18,Exclusively Ned with everyone,Higher education,No academic delay,3,2,Mechanics-electricity,Brugge,West Flanders,Yes,enroll
